UNITID,GRCOHRT,UGENTERN,PGRCOHRT,RRFTCT,RRFTEX,RRFTIN,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTEX,RRPTIN,RRPTCTA,RET_NMP,RET_PCP,STUFACR
215947,384.0,463.0,83.0,354.0,0.0,0.0,354.0,282.0,80.0,0.0,0.0,0.0,0.0,0.0,,13.0
215974,,,,8.0,0.0,0.0,8.0,3.0,38.0,,,,,,,6.0
215983,,,,,,,,,,,,,,,,5.0
215992,57.0,79.0,72.0,56.0,1.0,0.0,55.0,39.0,71.0,,,,,,,10.0
216010,1077.0,1451.0,74.0,998.0,0.0,0.0,998.0,684.0,69.0,24.0,0.0,0.0,24.0,2.0,8.0,17.0
216038,1459.0,1961.0,74.0,1369.0,1.0,0.0,1368.0,1126.0,82.0,1.0,0.0,0.0,1.0,1.0,100.0,19.0
216047,3.0,4.0,75.0,6.0,0.0,0.0,6.0,5.0,83.0,,,,,,,6.0
216074,,,,83.0,0.0,0.0,83.0,75.0,90.0,65.0,0.0,0.0,65.0,57.0,88.0,8.0
216083,69.0,100.0,69.0,103.0,0.0,0.0,103.0,87.0,84.0,1.0,0.0,0.0,1.0,1.0,100.0,8.0
216162,,,,,,,,,,,,,,,,10.0
216223,,,,15.0,0.0,0.0,15.0,11.0,73.0,,,,,,,10.0
216278,578.0,610.0,95.0,555.0,0.0,0.0,555.0,474.0,85.0,,,,,,,13.0
216287,433.0,436.0,99.0,454.0,0.0,0.0,454.0,436.0,96.0,,,,,,,8.0
216296,555.0,652.0,85.0,451.0,0.0,0.0,451.0,383.0,85.0,3.0,0.0,0.0,3.0,1.0,33.0,16.0
216311,32.0,34.0,94.0,34.0,0.0,0.0,34.0,32.0,94.0,,,,,,,15.0
216339,4614.0,6139.0,75.0,4881.0,1.0,6.0,4886.0,4116.0,84.0,41.0,0.0,0.0,41.0,19.0,46.0,12.0
216357,228.0,270.0,84.0,240.0,0.0,0.0,240.0,170.0,71.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0
216366,756.0,1488.0,51.0,683.0,0.0,0.0,683.0,558.0,82.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0
216436,23.0,41.0,56.0,31.0,0.0,0.0,31.0,17.0,55.0,,,,,,,8.0
216445,27.0,40.0,68.0,39.0,0.0,0.0,39.0,26.0,67.0,,,,,,,8.0
216454,24.0,25.0,96.0,15.0,0.0,0.0,15.0,12.0,80.0,,,,,,,7.0
216524,381.0,424.0,90.0,433.0,0.0,0.0,433.0,357.0,82.0,,,,,,,10.0
216542,131.0,177.0,74.0,119.0,0.0,0.0,119.0,85.0,71.0,6.0,0.0,0.0,6.0,4.0,67.0,11.0
216551,29.0,42.0,69.0,32.0,0.0,0.0,32.0,32.0,100.0,5.0,0.0,0.0,5.0,5.0,100.0,10.0
216579,,,,38.0,0.0,0.0,38.0,30.0,79.0,,,,,,,20.0
216597,1762.0,1915.0,92.0,1767.0,0.0,0.0,1767.0,1697.0,96.0,5.0,0.0,0.0,5.0,3.0,60.0,10.0
216630,,,,,,,,,,,,,,,,6.0
216667,348.0,380.0,92.0,328.0,0.0,0.0,328.0,272.0,83.0,,,,,,,10.0
216694,299.0,328.0,91.0,294.0,0.0,0.0,294.0,213.0,72.0,0.0,0.0,0.0,0.0,0.0,,12.0
216746,,,,19.0,0.0,0.0,19.0,19.0,100.0,1.0,0.0,0.0,1.0,1.0,100.0,15.0
216764,2984.0,4293.0,70.0,2614.0,1.0,0.0,2613.0,2149.0,82.0,14.0,0.0,0.0,14.0,7.0,50.0,20.0
216773,,,,13.0,0.0,0.0,13.0,10.0,77.0,,,,,,,11.0
216807,287.0,335.0,86.0,303.0,0.0,0.0,303.0,249.0,82.0,1.0,0.0,0.0,1.0,0.0,0.0,12.0
216825,424.0,908.0,47.0,456.0,0.0,0.0,456.0,304.0,67.0,333.0,0.0,0.0,333.0,143.0,43.0,17.0
216852,533.0,717.0,74.0,591.0,0.0,0.0,591.0,446.0,75.0,8.0,0.0,0.0,8.0,6.0,75.0,11.0
216931,464.0,648.0,72.0,541.0,0.0,0.0,541.0,385.0,71.0,15.0,0.0,0.0,15.0,3.0,20.0,13.0
216940,116.0,124.0,94.0,98.0,0.0,0.0,98.0,85.0,87.0,,,,,,,11.0
217013,136.0,281.0,48.0,136.0,0.0,0.0,136.0,94.0,69.0,0.0,0.0,0.0,0.0,0.0,,13.0
217040,9.0,9.0,100.0,16.0,0.0,0.0,16.0,12.0,75.0,,,,,,,7.0
217059,745.0,990.0,75.0,731.0,0.0,0.0,731.0,556.0,76.0,7.0,0.0,0.0,7.0,4.0,57.0,13.0
217077,,,,144.0,0.0,0.0,144.0,127.0,88.0,,,,,,,9.0
217156,1717.0,2120.0,81.0,1705.0,0.0,0.0,1705.0,1682.0,99.0,,,,,,,6.0
217165,964.0,1053.0,92.0,671.0,0.0,0.0,671.0,576.0,86.0,0.0,0.0,0.0,0.0,0.0,,13.0
217235,985.0,1165.0,85.0,1092.0,0.0,0.0,1092.0,821.0,75.0,9.0,0.0,0.0,9.0,3.0,33.0,14.0
217305,439.0,622.0,71.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,12.0
217323,,,,493.0,0.0,0.0,493.0,351.0,71.0,,,,,,,13.0
217402,1154.0,1292.0,89.0,1032.0,0.0,0.0,1032.0,928.0,90.0,8.0,0.0,0.0,8.0,5.0,63.0,11.0
217420,653.0,1248.0,52.0,583.0,1.0,0.0,582.0,413.0,71.0,26.0,0.0,0.0,26.0,12.0,46.0,11.0
217475,2329.0,4482.0,52.0,2100.0,8.0,0.0,2092.0,1245.0,60.0,753.0,7.0,0.0,746.0,299.0,40.0,17.0
217484,3404.0,4959.0,69.0,3188.0,0.0,0.0,3188.0,2702.0,85.0,16.0,0.0,0.0,16.0,11.0,69.0,17.0
217493,481.0,495.0,97.0,496.0,0.0,0.0,496.0,473.0,95.0,,,,,,,9.0
217518,1057.0,1657.0,64.0,999.0,0.0,0.0,999.0,771.0,77.0,4.0,0.0,0.0,4.0,1.0,25.0,14.0
217536,592.0,653.0,91.0,562.0,0.0,0.0,562.0,463.0,82.0,0.0,0.0,0.0,0.0,0.0,,13.0
217581,,,,28.0,0.0,0.0,28.0,22.0,79.0,8.0,0.0,0.0,8.0,5.0,63.0,17.0
217606,27.0,56.0,48.0,25.0,0.0,0.0,25.0,21.0,84.0,8.0,0.0,0.0,8.0,2.0,25.0,9.0
217615,277.0,947.0,29.0,198.0,0.0,0.0,198.0,109.0,55.0,248.0,0.0,0.0,248.0,104.0,42.0,14.0
217624,169.0,207.0,82.0,124.0,0.0,0.0,124.0,72.0,58.0,5.0,0.0,0.0,5.0,1.0,20.0,15.0
217633,796.0,1188.0,67.0,774.0,0.0,0.0,774.0,625.0,81.0,2.0,0.0,0.0,2.0,1.0,50.0,14.0
217688,723.0,1041.0,69.0,676.0,8.0,0.0,668.0,470.0,70.0,14.0,0.0,0.0,14.0,1.0,7.0,12.0
217712,153.0,824.0,19.0,153.0,0.0,0.0,153.0,74.0,48.0,210.0,0.0,0.0,210.0,93.0,44.0,12.0
217721,384.0,540.0,71.0,582.0,0.0,0.0,582.0,378.0,65.0,0.0,0.0,0.0,0.0,0.0,,17.0
217749,576.0,840.0,69.0,537.0,0.0,0.0,537.0,427.0,80.0,19.0,0.0,0.0,19.0,9.0,47.0,12.0
217776,144.0,333.0,43.0,132.0,0.0,0.0,132.0,88.0,67.0,2.0,0.0,0.0,2.0,0.0,0.0,12.0
217794,,,,19.0,0.0,0.0,19.0,14.0,74.0,3.0,0.0,0.0,3.0,1.0,33.0,15.0
217819,2204.0,2956.0,75.0,2464.0,3.0,0.0,2461.0,1966.0,80.0,9.0,0.0,0.0,9.0,4.0,44.0,16.0
217828,,,,17.0,0.0,0.0,17.0,11.0,65.0,6.0,0.0,0.0,6.0,5.0,83.0,16.0
217837,79.0,502.0,16.0,70.0,0.0,0.0,70.0,34.0,49.0,177.0,0.0,0.0,177.0,69.0,39.0,13.0
217864,676.0,802.0,84.0,565.0,0.0,0.0,565.0,476.0,84.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0
