UNITID,LEXP100K,LCOLELYN,LPBOOKS,LEBOOKS,LEDATAB,LPMEDIA,LEMEDIA,LPSERIA,LESERIA,LPCLLCT,LECLLCT,LTCLLCT,LPCRCLT,LECRCLT,LTCRCLT,LILLDYN,LILLDPR,LILLDRC,LILSYN,LSTOTAL,LSLIBRN,LSOPROF,LSOPAID,LSSTAST,LBRANCH,LSALWAG,LFRNGBYN,LFRNGBN,LEXMSBB,LEXMSCS,LEXMSOT,LEXMSTL,LEXOMPS,LEXOMOT,LEXOMTL,LEXPTOT,LSWMSOM
165194,1,2,47596.0,339557.0,110.0,3256.0,38148.0,701.0,37217.0,51553.0,415032.0,466585.0,1122.0,61396.0,62518.0,1,3068.0,711.0,1.0,6.91,3.13,1.0,2.74,0.04,0.0,447410.0,1,1232.0,29672.0,100856.0,1920.0,132448.0,2606.0,36899.0,39505.0,620595.0,619363.0
165264,1,2,2959.0,473.0,74.0,55.0,0.0,12.0,141.0,3026.0,688.0,3714.0,766.0,18252.0,19018.0,1,0.0,47.0,1.0,8.0,1.0,1.0,3.0,3.0,0.0,139084.0,1,25435.0,29912.0,26111.0,14972.0,70995.0,0.0,0.0,0.0,235514.0,210079.0
165334,1,2,384240.0,387355.0,160.0,6519.0,236628.0,9774.0,22448.0,400533.0,646591.0,1047124.0,4303.0,48591.0,52894.0,1,2558.0,4303.0,1.0,21.0,10.0,0.0,5.0,6.0,2.0,901992.0,1,242515.0,94093.0,1506367.0,1220.0,1601680.0,5103.0,18756.0,23859.0,2770046.0,2527531.0
165495,2,2,4834.0,0.0,0.0,21.0,25.0,7.0,0.0,4862.0,25.0,4887.0,100.0,1.0,101.0,1,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,,,-2,,,,,,,,,,
165529,1,2,54370.0,248732.0,109.0,2581.0,42164.0,0.0,74791.0,56951.0,365796.0,422747.0,829.0,976.0,1805.0,1,189.0,498.0,1.0,12.0,5.0,1.0,2.0,4.0,0.0,977577.0,1,194836.0,1252.0,36476.0,341425.0,379153.0,0.0,117242.0,117242.0,1668808.0,1473972.0
165574,1,2,25886.0,106875.0,59.0,666.0,3080.0,0.0,4065.0,26552.0,114079.0,140631.0,2195.0,2662.0,4857.0,1,3475.0,949.0,1.0,15.0,3.0,1.0,0.0,11.0,0.0,252634.0,2,0.0,453.0,67428.0,17848.0,85729.0,0.0,45713.0,45713.0,384076.0,384076.0
165644,1,2,90290.0,487945.0,132.0,1936.0,109426.0,526.0,671416.0,92752.0,1268919.0,1361671.0,5183.0,13956.0,19139.0,1,5320.0,192.0,1.0,6.75,1.0,0.0,0.75,5.0,0.0,141804.0,1,24485.0,1091.0,164301.0,1470.0,166862.0,75.0,36162.0,36237.0,369388.0,344903.0
165662,1,2,144898.0,253339.0,119.0,18884.0,88639.0,759.0,237330.0,164541.0,579427.0,743968.0,5383.0,414256.0,419639.0,1,636.0,1434.0,1.0,25.22,12.55,1.0,4.0,7.67,0.0,1523558.0,2,0.0,121359.0,505003.0,47210.0,673572.0,33542.0,138231.0,171773.0,2368903.0,2368903.0
165671,1,2,61249.0,271739.0,0.0,1250.0,78058.0,31.0,189231.0,62530.0,539028.0,601558.0,1446.0,239031.0,240477.0,1,349.0,325.0,1.0,8.9,8.9,0.0,0.0,0.0,0.0,630049.0,1,280147.0,40303.0,337787.0,2469.0,380559.0,5550.0,3092.0,8642.0,1299397.0,1019250.0
165699,1,2,97463.0,238437.0,213.0,1210.0,9607.0,34.0,154422.0,98707.0,402679.0,501386.0,4812.0,6488.0,11300.0,1,5166.0,2646.0,1.0,8.9,4.15,2.45,0.0,2.3,0.0,533653.0,2,0.0,61375.0,280019.0,0.0,341394.0,0.0,41631.0,41631.0,916678.0,916678.0
165802,1,2,23860.0,8906.0,99.0,4582.0,265442.0,0.0,0.0,28442.0,274447.0,302889.0,9537.0,3347.0,12884.0,1,117.0,32.0,1.0,3.3,2.0,0.0,0.0,1.3,0.0,148428.0,1,44434.0,5686.0,171095.0,13488.0,190269.0,0.0,155.0,155.0,383286.0,338852.0
165820,1,2,174224.0,549671.0,191.0,926.0,84529.0,1379.0,134046.0,176529.0,768437.0,944966.0,2516.0,188010.0,190526.0,1,1661.0,1694.0,1.0,19.2,8.0,6.0,2.01,3.19,0.0,1074513.0,2,0.0,84645.0,535967.0,5231.0,625843.0,537.0,92882.0,93419.0,1793775.0,1793775.0
165866,1,2,134329.0,257777.0,158.0,1111.0,81059.0,22.0,140000.0,135462.0,478994.0,614456.0,15575.0,48640.0,64215.0,1,13596.0,5403.0,1.0,24.9,10.96,0.0,10.48,3.46,0.0,941659.0,2,0.0,24051.0,389294.0,0.0,413345.0,0.0,106537.0,106537.0,1461541.0,1461541.0
165884,2,1,,190065.0,48.0,,0.0,,19432.0,,209545.0,209545.0,,281.0,281.0,1,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,,,-2,,,,,,,,,,
165936,1,2,134567.0,251529.0,95.0,6677.0,0.0,68.0,92473.0,141312.0,344097.0,485409.0,5695.0,5765.0,11460.0,1,6299.0,714.0,1.0,7.91,3.0,0.0,3.41,1.5,0.0,376966.0,1,128020.0,36268.0,217280.0,0.0,253548.0,0.0,48361.0,48361.0,806895.0,678875.0
165945,1,2,308996.0,1000000.0,256.0,4582.0,0.0,325.0,0.0,313903.0,1000256.0,1314159.0,13330.0,205134.0,218464.0,1,401.0,333.0,1.0,19.0,4.0,3.0,0.0,12.0,4.0,353879.0,1,68746.0,60324.0,6541.0,102481.0,169346.0,0.0,497165.0,497165.0,1089136.0,1020390.0
165981,1,2,40607.0,163842.0,70.0,750.0,53134.0,0.0,4065.0,41357.0,221111.0,262468.0,1880.0,2389.0,4269.0,1,3041.0,411.0,1.0,6.55,4.25,0.0,1.0,1.3,0.0,323842.0,2,0.0,17411.0,33483.0,6783.0,57677.0,0.0,60715.0,60715.0,442234.0,442234.0
